Sr. No,Name of Undustry,Place ,Lat,Long
1, Kj enterprise Kismat Nagar, Kurla ,19.07722,72.87663
2, Sonu body parts Kismat Nagar, Kurla ,19.07492,72.87181
3, Golden timber Kismat Nagar, Kurla ,19.07514,72.87248
4, Rk3 car accessories Kismat Nagar, Kurla ,19.07535,72.87291
5, Star traders Kismat Nagar, Kurla ,19.07782,72.8785
6, Smb motors Kismat Nagar, Kurla ,19.07652,72.87495
7, Chotu electronics Kismat Nagar, Kurla ,19.07556,72.87307
8, Kohinoor timber Kismat Nagar, Kurla ,19.07514,72.87248
9, MS Malik Kismat Nagar, Kurla ,19.07483,72.87204
10, Roshan timbers Kismat Nagar, Kurla ,19.0755,72.8729
11, Royal traders Kismat Nagar, Kurla ,19.07601,72.87399
12, Khwaja garib nawaj automobiles Kismat Nagar, Kurla ,19.07075,72.87813
13, Lucky plywood Kismat Nagar, Kurla ,19.07592,72.87345
14, Meraj automobiles Kismat Nagar, Kurla ,19.07673,72.87582
15, Super auto body parts Kismat Nagar, Kurla ,19.07588,72.87354
16, Nawaj automobiles Kismat Nagar, Kurla ,19.07588,72.87354
17, Chandan plywood Kismat Nagar, Kurla ,19.07549,72.87385
18, Attari plywood Kismat Nagar, Kurla ,19.07673,72.87582
19, Eram automobiles Kismat Nagar, Kurla ,19.07549,72.87385
20, Akram body parts Kismat Nagar, Kurla ,19.07601,72.87399
21, Aleeza automobiles Kismat Nagar, Kurla ,19.07673,72.87582
22, KGN seat wala Kismat Nagar, Kurla ,19.0767,72.87545
23, J. Khan automobiles Kismat Nagar, Kurla ,19.07673,72.87582
24, Aman automobiles Kismat Nagar, Kurla ,19.07589,72.87393
25, Ansar auto body parts Kismat Nagar, Kurla ,19.0757,72.87399
26, AA manusri automobiles Kismat Nagar, Kurla ,19.07578,72.87397
27, Valid Mohan & Sons body parts Kismat Nagar, Kurla ,19.0767,72.87545
28, Modern automobiles Kismat Nagar, Kurla ,19.07595,72.87443
